"minami_kaz(judge)","minami_kaz(comment)","teraim(judge)","teraim(comment)","proj","ver","nid","path","lnum"
"M2","Compute the Cholesky factorization A = U'*U
コレスキー分解と理解。本来ブロック化できるのでこのように判定。","M1","","NEKCEM_git","1e1977e","8197","libs/netlib/lapack.f","262097"
"NonKernel","コメントからファイルからのデータ収集と判断","NonKernel","計算データのセットアップと判定","carma-miriad_git","34b15af","53794","src/prog/misc/listobs.for","181"
"M5","タイムステップループ内のソルバー内の処理。カーネルと想定。配列代入処理ループ。","NonKernel","初期化","CM1_git","fc4db52","4799","src/bc.F","2054"
"M5","計算ルーチンの中なのでカーネルとみなす。
ソースより判断。","M5","リダクション","VAPO_git","d93599f","94838","Precombustion/Mdot/OFShift/ver01/Mdot0_03/CALC/PreCEA/MainCEA/cea/cea2.f","1332"
"Ignored","","NonKernel","","oorb_git","0ec2651","4042","classes/StochasticOrbit_class.f90","9296"
"M2","FFTの処理の一部．原理的にある程度ブロッキング可能と判定した。","Other","","elk_git","610ccd4","11388","src/fftlib/cfftnd.f90","1123"
"M6","通常のイタレーション構造がないように見えるが、","Other","手続きinvfftが不明。ただしカーネルぽい。","q-e_git","1f12d22","34168","GWW/pw4gww/semicore.f90","47"
"M5","LAPACKのテストルーチン。アプリの形にもなっていない。","M5","#test","blas-lapack-ffi_git","781517b","2232","unused/lapack_cwrapper/testing/main/LIN/claptm.f","173"
"NonKernel","メインのタイムステップループでなくカーネルでないと判断。","NonKernel","ループボディ小さい。","dissertaion_phd_tamu_git","5c1d609","553","chap_5_active_trusses/codes_linear_tetra_hedral_truss/Elec_Mech_FEM/src/femgeometry.f90","422"
"NonKernel","アプリ自体が計算本体でない模様。この部分も処理の振り分けのためのループ。","NonKernel","以下に対応するブロック
- TEST(17) WRITE OUT READ-IN COEFFICIENTS  (I/O UNITS 12 & 16)
- TEST(18) ENTHALPY IS ABSOLUTE","VAPO_git","d93599f","21011","Precombustion/Mdot/OFShift/ver01/Mdot0_07/CALC/MainCEA/pac/pac99.f","4957"
